Article 1,Article 2,Language
"Rajiv Pratap Rudy, the BJP candidate, expressed gratitude to the people of Chhapra for electing him for the third consecutive time from the Saran Lok Sabha constituency. He defeated RJD's Rohini Acharya by 13,661 votes. Rudy addressed speculations about Bihar Chief Minister Nitish Kumar potentially joining the INDIA bloc, affirming Kumar's stability and popularity. The 2024 Lok Sabha election results showed BJP winning 240 seats, a decrease from 2019, while Congress improved to 99 seats. The INDIA bloc posed strong competition with over 230 seats. In Bihar, the BJP-led NDA won 29 out of 40 seats, with BJP and JDU each securing 12 seats.","Leaders from France, Denmark, Serbia, Norway, and Indonesia have congratulated Indian Prime Minister Narendra Modi on his third consecutive term following the BJP-led National Democratic Alliance's (NDA) majority win in the 2024 Lok Sabha elections. French President Emmanuel Macron, Norwegian PM Jonas Gahr Store, Serbian President Aleksandar Vucic, Danish PM Mette Frederiksen, and Indonesian President Joko Widodo all extended their best wishes and expressed hopes for continued and strengthened bilateral relations. The BJP secured 240 seats, a decrease from 303 in 2019, while the main opposition Congress saw significant growth, winning 99 seats compared to 52 in the previous election.",eng,eng
"Rajiv Pratap Rudy, the BJP candidate, expressed gratitude to the people of Chhapra for electing him for the third consecutive time from the Saran Lok Sabha constituency. He defeated RJD's Rohini Acharya by 13,661 votes. Rudy addressed speculations about Bihar Chief Minister Nitish Kumar potentially joining the INDIA bloc, affirming Kumar's stability and popularity. The 2024 Lok Sabha election results showed BJP winning 240 seats, a decrease from 2019, while Congress improved to 99 seats. The INDIA bloc posed strong competition with over 230 seats. In Bihar, the BJP-led NDA won 29 out of 40 seats, with BJP and JDU each securing 12 seats.","Laxman Bag of the BJP gained significant attention in Odisha by defeating the five-time Chief Minister Naveen Patnaik in the Kantabanji assembly seat in Bolangir district. Bag won by a margin of 16,344 votes, marking Patnaik's first electoral defeat since he began his political career in 1998. Patnaik, however, secured a win in the Hinjili seat by 4,636 votes. Bag, a 48-year-old farmer with a matriculation education and 12 criminal cases against him, attributed his victory to the local people's preference and his focus on addressing employment issues. This victory is seen as a major upset and has significant political implications in the region.",eng,eng
"Rajiv Pratap Rudy, the BJP candidate, expressed gratitude to the people of Chhapra for electing him for the third consecutive time from the Saran Lok Sabha constituency. He defeated RJD's Rohini Acharya by 13,661 votes. Rudy addressed speculations about Bihar Chief Minister Nitish Kumar potentially joining the INDIA bloc, affirming Kumar's stability and popularity. The 2024 Lok Sabha election results showed BJP winning 240 seats, a decrease from 2019, while Congress improved to 99 seats. The INDIA bloc posed strong competition with over 230 seats. In Bihar, the BJP-led NDA won 29 out of 40 seats, with BJP and JDU each securing 12 seats.","The Trinamool Congress (TMC) has scheduled a meeting for its newly elected MPs at Chief Minister Mamata Banerjee's residence in Kolkata on Saturday at 4 pm. This follows the recent Lok Sabha elections where TMC secured 29 out of 42 seats in West Bengal, while the Bharatiya Janata Party (BJP) won 12 seats, a decrease from their previous 18 seats in 2019. Mamata Banerjee has called for Prime Minister Narendra Modi's resignation, citing his failure to achieve the 400 seats he had promised. The BJP's campaign aimed to unseat Banerjee but was unsuccessful. The meeting is likely to discuss the election outcomes and future strategies.",eng,eng
"Russian President Vladimir Putin congratulated Indian Prime Minister Narendra Modi on his victory in the 2024 Lok Sabha Elections during a phone call. Putin praised the success of Modi's Bharatiya Janata Party (BJP) as a reflection of India's socio-economic progress and international standing. Both leaders agreed to continue their constructive personal interactions and expressed satisfaction with the strategic partnership between Russia and India, aiming to expand cooperation further. Putin emphasized the importance of their bilateral relationship and expressed confidence in exploring new opportunities for mutual benefit. He also extended his best wishes for Modi's continued success, health, and prosperity. Additionally, South Korean President Yoon Suk Yeol congratulated Modi, highlighting the broad support from the Indian people and expressing a desire to deepen their Special Strategic Partnership. The BJP won 240 seats in the election, a decrease from its 2019 tally of 303.","UK Prime Minister Rishi Sunak congratulated Indian Prime Minister Narendra Modi on his victory in the 2024 Lok Sabha elections, emphasizing the strong friendship between the UK and India. The BJP won 240 seats, falling short of the 272 majority mark, but Modi secured a third consecutive term. Global leaders, including US President Joe Biden, French President Emmanuel Macron, Sri Lankan President Ranil Wickremesinghe, Taiwanese President Lai Ching-te, Ukrainian President Volodymyr Zelenskyy, Malaysian Prime Minister Anwar Ibrahim, and Spanish Prime Minister Pedro Sanchez, extended their congratulations. The National Democratic Alliance (NDA) unanimously re-elected Modi as their leader, praising his vision for India's development.",eng,eng
"Russian President Vladimir Putin congratulated Indian Prime Minister Narendra Modi on his victory in the 2024 Lok Sabha Elections during a phone call. Putin praised the success of Modi's Bharatiya Janata Party (BJP) as a reflection of India's socio-economic progress and international standing. Both leaders agreed to continue their constructive personal interactions and expressed satisfaction with the strategic partnership between Russia and India, aiming to expand cooperation further. Putin emphasized the importance of their bilateral relationship and expressed confidence in exploring new opportunities for mutual benefit. He also extended his best wishes for Modi's continued success, health, and prosperity. Additionally, South Korean President Yoon Suk Yeol congratulated Modi, highlighting the broad support from the Indian people and expressing a desire to deepen their Special Strategic Partnership. The BJP won 240 seats in the election, a decrease from its 2019 tally of 303.","US President Joe Biden congratulated Indian Prime Minister Narendra Modi and the National Democratic Alliance (NDA) on their victory in the 2024 Lok Sabha elections, highlighting the growing friendship between the US and India. The Bharatiya Janata Party (BJP), led by Modi, won 240 seats, while the Congress secured 99 seats. Modi's third term will require coalition support, notably from JD(U) chief Nitish Kumar and TDP chief Chandrababu Naidu. Global leaders, including those from France, Sri Lanka, Taiwan, Ukraine, and Malaysia, extended their congratulations, emphasizing the potential for strengthened international partnerships and regional prosperity.",eng,eng
"President Joe Biden congratulated Prime Minister Narendra Modi on his electoral victory in the 2024 Lok Sabha elections. Biden emphasized the growing friendship between the US and India and expressed eagerness to continue collaborating on prosperity, innovation, climate crisis, and maintaining a free and open Indo-Pacific region. State Department Spokesperson Matthew Miller highlighted the significance of the election, noting the participation of approximately 650 million voters, and commended the commitment of Indian voters, poll workers, civil society, and journalists to the democratic process.","UK Prime Minister Rishi Sunak congratulated Indian Prime Minister Narendra Modi on his victory in the 2024 Lok Sabha elections, emphasizing the strong friendship between the UK and India. The BJP won 240 seats, falling short of the 272 majority mark, but Modi secured a third consecutive term. Global leaders, including US President Joe Biden, French President Emmanuel Macron, Sri Lankan President Ranil Wickremesinghe, Taiwanese President Lai Ching-te, Ukrainian President Volodymyr Zelenskyy, Malaysian Prime Minister Anwar Ibrahim, and Spanish Prime Minister Pedro Sanchez, extended their congratulations. The National Democratic Alliance (NDA) unanimously re-elected Modi as their leader, praising his vision for India's development.",eng,eng
"President Joe Biden congratulated Prime Minister Narendra Modi on his electoral victory in the 2024 Lok Sabha elections. Biden emphasized the growing friendship between the US and India and expressed eagerness to continue collaborating on prosperity, innovation, climate crisis, and maintaining a free and open Indo-Pacific region. State Department Spokesperson Matthew Miller highlighted the significance of the election, noting the participation of approximately 650 million voters, and commended the commitment of Indian voters, poll workers, civil society, and journalists to the democratic process.","US President Joe Biden congratulated Indian Prime Minister Narendra Modi and the National Democratic Alliance (NDA) on their victory in the 2024 Lok Sabha elections, highlighting the growing friendship between the US and India. The Bharatiya Janata Party (BJP), led by Modi, won 240 seats, while the Congress secured 99 seats. Modi's third term will require coalition support, notably from JD(U) chief Nitish Kumar and TDP chief Chandrababu Naidu. Global leaders, including those from France, Sri Lanka, Taiwan, Ukraine, and Malaysia, extended their congratulations, emphasizing the potential for strengthened international partnerships and regional prosperity.",eng,eng
"Russian President Vladimir Putin congratulated Indian Prime Minister Narendra Modi on his victory in the 2024 Lok Sabha Elections during a phone call. Putin praised Modi and the Bharatiya Janata Party (BJP) for their success, highlighting the support for India's socio-economic development and international standing. Both leaders agreed to continue their constructive personal interactions and expressed satisfaction with the strategic partnership between Russia and India, aiming to expand cooperation further. Putin emphasized the importance of their bilateral relationship and expressed confidence in exploring new opportunities for mutual benefit. He also extended his best wishes for Modi's continued success, health, and prosperity. Additionally, South Korean President Yoon Suk Yeol congratulated Modi, acknowledging the broad support from the Indian people and expressing a desire to deepen their Special Strategic Partnership. The BJP won 240 seats in the election, a decrease from their 2019 tally of 303.","Sri Lanka's Foreign Minister Ali Sabry congratulated India on the successful completion of its election process, praising it as a demonstration of democracy. Indian External Affairs Minister S. Jaishankar expressed gratitude for the congratulations. Additionally, Jamaican Foreign Minister Kamina Johnson Smith and Prime Minister Andrew Holness also congratulated Prime Minister Narendra Modi on his third consecutive victory in the Lok Sabha elections. Modi responded by emphasizing the strong ties between India and Jamaica. Global leaders, including those from Maldives, Israel, Ukraine, and Italy, have also extended their congratulations. The BJP won 240 seats in the 2024 Lok Sabha elections, while the Congress increased its tally to 99 seats.",eng,eng
"Prime Minister Narendra Modi has been unanimously elected as the leader of the National Democratic Alliance (NDA) for a third consecutive term following the 2024 Lok Sabha elections. The NDA, during a key meeting at Modi's residence in Delhi, passed a resolution to this effect, with 21 leaders signing a letter of support. The meeting was attended by prominent BJP leaders and allies, including JP Nadda, Amit Shah, Rajnath Singh, Nitish Kumar, and N Chandrababu Naidu, among others. The BJP won 240 seats, falling 32 seats short of the majority mark, necessitating reliance on allies to form the government. The INDIA bloc, led by Congress chief Mallikarjun Kharge, also met and expressed a commitment to constitutional values. President Droupadi Murmu dissolved the 17th Lok Sabha and accepted Modi's resignation along with his Council of Ministers. International leaders, including UK PM Rishi Sunak and Italy PM Giorgia Meloni, have congratulated Modi on his victory.","Sri Lanka's Foreign Minister Ali Sabry congratulated India on the successful completion of its election process, praising it as a demonstration of democracy. Indian External Affairs Minister S. Jaishankar expressed gratitude for the congratulations. Additionally, Jamaican Foreign Minister Kamina Johnson Smith and Prime Minister Andrew Holness also congratulated Prime Minister Narendra Modi on his third consecutive victory in the Lok Sabha elections. Modi responded by emphasizing the strong ties between India and Jamaica. Global leaders, including those from Maldives, Israel, Ukraine, and Italy, have also extended their congratulations. The BJP won 240 seats in the 2024 Lok Sabha elections, while the Congress increased its tally to 99 seats.",eng,eng
"The 2024 Lok Sabha election results indicate a fractured mandate, with the BJP securing 240 seats, Congress 99, and the Samajwadi Party 37. The NDA coalition holds 292 seats, while the opposition INDIA bloc has 234 seats. Congress President Mallikarjun Kharge suggested that the opposition will take steps to oust the BJP from power, hinting at potential alliances with NDA members. Shiv Sena-UBT leader Sanjay Raut mentioned that the INDIA bloc aims to form a government within six months, predicting instability within the NDA. The numbers show that if the Telugu Desham Party (TDP) and Janata Dal United (JDU) leave the NDA, the BJP-led government would fall short of the majority mark. Conversely, if these parties join the INDIA bloc, the opposition would still need additional support from independents or smaller parties to form a government.","Leaders from France, Denmark, Serbia, Norway, and Indonesia have congratulated Indian Prime Minister Narendra Modi on his third consecutive term following the BJP-led National Democratic Alliance's (NDA) majority win in the 2024 Lok Sabha elections. French President Emmanuel Macron, Norwegian PM Jonas Gahr Store, Serbian President Aleksandar Vucic, Danish PM Mette Frederiksen, and Indonesian President Joko Widodo all extended their best wishes and expressed hopes for continued and strengthened bilateral relations. The BJP secured 240 seats, a decrease from 303 in 2019, while the main opposition Congress saw significant growth, winning 99 seats compared to 52 in the previous election.",eng,eng
